title_ja,title_en,tags,cover_image_path,description
,Seinaru Kishi no Ankokudou,Romance|Comedy|Magic|School Life|Fantasy|Adaptation,data/images\a41b29d4-6914-4498-a2ea-49bb0d41f5af.jpg,Young Sain Forth has it made; as the famed Holy Knight  he has the people's love  the respect of kings  and the blessings of a literal goddess. His aspirations lie elsewhere  though. With his assistant Melia at his side  he leaves for an academy in a foreign kingdom  where he is treated as a deviant by his peers. It's his own fault  mind you—his stubborn insistence on wearing a custom  all-black uniform makes him stick out.  He isn't the only outcast in his class: Alicia  born into the Clan of Light but unable to use anything but fire magic  faces similar struggles  and the two quickly become allies. Alicia proposes that they enter the labyrinth below the school in search of a holy sword  but Sain has other plans in mind: a doom sword. And so  with his friends in tow  Sain ventures into the perilous unknown  driven by a wish to become the coolest  edgiest  most awesome thing in existence: a Dark Knight. There's just one problem. He can't use dark magic. Like  at all. ___ [Official English Translation of the Light Novel](https://j-novel.club/s/the-holy-knight-s-dark-road)
,Girls' Frontline,Sci-Fi|Action|Video Games|Post-Apocalyptic|Military|Adaptation,data/images\f677ba49-3348-4922-a772-f402a8aa0fb7.jpg,"Based on the popular mobile strategy game from MICA Team.      In the year 2030  ""The Belian Island Incident"" happened where a highly radioactive alien substance was accidentally exposed to the atmosphere  causing half the world's population to be killed or mutated into zombie-like creatures called ELID (Euroky Low-Emission Infectious Disease) and the land becoming contaminated and uninhabitable.   In response to the world suffering a shortage of Manpower  highly advanced androids with superior strength and advanced AI capable of expressing emotions called A-Dolls (Autonomous Dolls) were created.    When World War 3 broke out in 2045 to 2051 over uncontaminated land and resources  Private Military Companies used A-Dolls with the ability to fight called T-Dolls (Tactical Dolls) in the war  which made them rich  becoming the de facto police and military of many nations after the war ended.   However  in 2061  T-Dolls of the world's largest PMC  Sangvis Ferri  suddenly rebelled  killed their human masters and attack nearby human settlements. In response  Grifon & Kryuger PMC and their T-Dolls were hired to stop and contain the Sangvis Ferri Forces."
,Catulus Syndrome,Comedy|Girls' Love|School Life|Slice of Life|Supernatural,data/images\20fd49ae-0e6f-451d-94ca-00aa780f3897.jpg,Catulus Syndrome - A strange illness which causes girls to develop catlike traits. Modern science has figured out two things about this illness:      1. They're really cute!   2. There's a high chance of other girls making their hearts flutter.
,Otr of the Flame,Action|Magic|Fantasy,data/images\1cf64f4a-c565-44ea-8a8e-c210dec6e441.jpg,The world is encased in winter due to the advances of the Ice Kingdom. Kind-hearted Otr  who dreams of being a warrior like his dad  has been entrusted with keeping the fires burning as a cook in the fortress. But when the fortress is attacked by the demonic army of the Ice Kingdom  the people and the flame are in danger of being snuffed out. Can Otr awaken a power that can turn the tide?  (MANGA Plus)
,Harukaze Mound,Sports,data/images\238911e0-a035-47e7-90d5-c24623cb563a.jpg,"""We twins were born on the same day and share the same dream! And we've made a promise to each other!"" Nobody's more passionate about baseball than the Kuzumi twins. Younger brother Aokaze and his golden right arm is a once in a generation talent! Older brother Nagiharu is a lefty bench warmer. These two have walked the same dream since birth  but when they meet a certain catcher  their destinies will begin to change. The creators of Phantom Seer bring you a serious baseball epic!"
,Chie Aru Koibito,Romance|Comedy|School Life|Slice of Life,data/images\03dfc1fa-bef7-41c0-a866-f56e1164251f.jpg,A story of awkward first love between two honor students. They're hesitant yet bold when it's just the two of them in the classroom after school.
,Fire Punch,Thriller|Action|Psychological|Romance|Comedy|Survival|Adventure|Post-Apocalyptic|Sexual Violence|Military|Philosophical|Gore|Drama|Horror|Fantasy|Supernatural|Mystery|Tragedy,data/images\6fef1f74-a0ad-4f0d-99db-d32a7cd24098.jpg,In the not-too-distant past  the Ice Witch blanketed the world in snow  starvation and madness  leading the inhabitants to seek their salvation in fire. With that  an unusual destiny unfolds for two young orphans  Agni and Luna  blessed with the ability to regenerate. But will this ability prove to be more of a curse than a blessing?  Nominee for the 2017 Manga Taisho Award.
,My Bias Gets On The Last Train,Long Strip|Romance|Drama|Music|Full Color,data/images\984df7d5-ae4c-43c6-aa65-737b9f37e5ef.jpg,“Meeting her on the last train again today  if only I could talk to her!” College student Lee Yeowoon works late and takes the last train every night. Each time  he runs into Shin Haein  a woman carrying a guitar. As if by chance  as if by fate  the two keep meeting and discover that their favorite artist is the indie musician “Long Afternoon.” They gradually grow closer and so the story began.
,Kanojo no Tomodachi (Fan Colored),Romance|Fan Colored|Drama|School Life,data/images\5e3a2725-8020-4184-8018-91641e21b1e9.jpg,He's got a cute girlfriend. But his girlfriends friend is so much sexier... And she's tempting him to cheat.  What would you do if your girlfriend's friend pressed you like this?
,Akuyaku no Oujo ni Tensei Shitakedo  Kakushi Chara ga Kakuretenai,Reincarnation|Romance|Magic|Isekai|Fantasy|Villainess|Adaptation,data/images\f563a50b-83eb-4449-ac71-cf424a24138d.jpg,Abused in the back palace  Lusienne remembers her previous life with the shock of a blow to the head... You're lying  right? Lusienne la Verrier is the name of the villainous princess in that otome game I liked. But wait  how old am I now? Isn't Lusienne's life too hard from the very beginning? ___ [Original Web Novel](https://ncode.syosetu.com/n0551gv/)
,Tyranny,Thriller|Monsters|Action|Demons|Psychological|Ghosts|Comedy|Superhero|Philosophical|Drama|Fantasy|Web Comic|Slice of Life|Supernatural|Tragedy,data/images\3846f669-4277-43ca-ada8-0c57961f5f1f.jpg,I am from Egypt. I love drawing manga as a hobby. I am not good enough  but I am trying. Your comments and testimony motivate me to continue.
,Horobi no Kuni no Seifukusha ~Maou wa Sekai wo Seifukusuru Youdesu~,Reincarnation|Action|Isekai|Drama|Fantasy|Adaptation,data/images\89bcfe0b-caa3-4d1b-9679-139b44a0b505.jpg,After a life seemingly devoid of meaning  a man reincarnates in a new world as Yuri Ho.   Immersed in novel experiences and embraced by parents who shower him with unprecedented affection  his will to live grows like never before. The future that lies before him is a peaceful existence on his father's ranch  breeding and raising birds to be ridden by warriors fighting distant wars. His new home  the Shiyalta Kingdom  has enjoyed peace and prosperity for centuries  shielded by friendly nations that  like Shiyalta itself  were established following the collapse of a once-great empire. It seems no threat can compromise this idyllic lifestyle.   However  when the effects of a neighboring kingdom’s war throw Yuri's family into crisis  he finds himself unable to stand by and watch.
,Umamusume - Pretty Derby PisuPisu☆SupiSupi - Golshi-chan,Comedy|Sports|School Life|Slice of Life|Adaptation,data/images\c83006f3-e650-46fd-b6de-a88df6b59fab.jpg,「ピスピース！！そうだぜ、アタシがゴルシちゃんだぜ！」  ウマ娘界イチの暴れん坊「ゴールドシップ」が、なんと幼稚園児になって漫画世界に降臨！傍若無人に破天荒に、謎テンションでとにかく暴れ回る！！
,Taika no Risei,Thriller|Psychological|Animals|Crime|Philosophical|Gore|Drama,data/images\607759cc-aa6a-4470-8f7c-9bbf8253b915.jpg,"As birth rates decline  in an effort to increase the total population of Japan  the country has implemented... a pet-humanism policy...? As more and more owners ""humanize"" their pets--having them become members of society--Japan begins to experience a hike in economic growth  as well as in increase in crimes committed by these ""dogmen"" and ""catmen""... In the midst of such social unrest  what could possibly be of bigger concern to one cynical high school girl named Ao...?"
,Ultimate Scheming System,Reincarnation|Action|Romance|Comedy|Martial Arts|Adventure|Harem|Wuxia|Isekai|Fantasy|Web Comic|Full Color,data/images\e8d707b4-298d-48ee-91de-d3371de5aa22.jpg,"Scamming all day  every day  often venturing alone. He bluffs to get the ultimate power in this cultivation world?! world traveler Xue Que doesn’t always bluff  but he needs to.      ""Before you get your hopes up  The Character is Absolute Garbage  The Manhua is Pure comedy at best… The plot ehhh not so much""      Term : META Stands for (Most Effective Tactic Available) Metagaming is any strategy  action or method used in a game which transcends a prescribed ruleset  uses external factors to affect the game  or goes beyond the supposed limits or environment set by the game. Another definition refers to the game universe outside of the game itself. *(citation needed)*"
,Make the Exorcist Fall in Love,Action|Demons|Romance|Comedy|Gore|Drama|Supernatural,data/images\8d2e9520-4127-4bf2-94a3-b2571029562d.jpg,As the strongest exorcist  a boy chosen by God was engaged in mortal combat with the Demon Kings. Although he bears the fate of humanity on his shoulders  he actually wants to make sweets peacefully. One day  he meets a girl... ___ **Additional Links:** - [Official X](https://x.com/exorcistboy_PR)
,Isekai Walking,Monsters|Romance|Comedy|Adventure|Harem|Isekai|Fantasy|Slice of Life|Adaptation,data/images\72331318-7f5e-44b3-8510-12133149fde3.jpg,"Ordinary student Sora has been summoned to another world as one of seven ""chosen heroes"" meant to battle the Demon King. While the other six are blessed with grandiose titles and superlative stats  Sora is stuck with no title  no level  and a single  underwhelming skill: he never gets tired from walking. After being judged useless to the cause  Sora is thrown out into the streets and left to fend for himself. Nevertheless  he grows determined to turn his unjust treatment and seemingly ""useless"" skill into a positive by earning money  making friends  and seeing sights he's never seen before! ___ [Official English Light Novel](https://j-novel.club/series/isekai-walking)"
,Sakura-chan to Amane-kun,Romance|Crossdressing,data/images\3d682685-3da2-4a1d-88e6-c0b2923b9047.jpg,A story of a boy and a girl who share a secret they can't tell others.
,Umihara Kawase,Thriller|Sci-Fi|Monsters|Action|Adventure|Video Games|Crossdressing|Mystery|Adaptation,data/images\f53bf8b0-4c84-469c-97d4-9f265e3e4c81.jpg,A very loose adaptation of the story-light cult-classic Super Famicom/SNES video game of the same name. Umihara Kawase (who spells her name differently  indicating this is an alternate universe story compared to the games) must contend with a sinister organisation and confront the legacy of her oceanographer father with the help of her new friend Kouichi Shioji. Serialised in Comic Burger in 1995  it ran for eight chapters. The first six were collected in tankobon format.
,Dodonpa!,Official Colored|Comedy|Slice of Life|Cooking,data/images\bc4b74fb-3894-4245-b2ae-70277d6b133a.jpg,This is nothing more than an epic manga about piling toppings on rice and eating it deliciously.  With over 230 000 twitter followers  food-loving illustrator Aya’s smash hit series finally comes to print.  Even if you’re hopeless at cooking or just prefer eating  you’ll be more than satisfied with this easy and tasty manga essay.   A single bowl becomes a canvas for edible art. That’s what a donburi (rice bowl) is.   There's the garlic butter oyster donburi with its aroma that fires up your appetite  kakuni donburi with pork that melts in your mouth  teriyaki mayo chicken donburi so glossy you can’t take your eyes off it  torotaku (toro with pickled daikon) donburi with its mushy-crunchy-snap textures that make eating fun.   This book crams in donburi you can savour with all five senses  in full colour.
,Sono Akuyaku Kizoku  Mama Heroine ga Suki Sugiru ~Shinshi na Doryoku de Saikyou to Nari Fuguu na Oshi Chara Tasukemakuru~,Reincarnation|Action|Romance|Video Games|Harem|Isekai|Drama|Fantasy,data/images\8fb00aab-2cfa-4b46-883e-4584d5e9aa62.jpg,"The mom characters who appear in the game *MamaFan* are all unfortunate sub-heroines who always get bad ending routes.   ""Why... Why do such cute moms have to die?!""  Even though the protagonist tried very hard to request a route where they get saved  all of his efforts were in vain  making him spend his days in frustration. Then on a certain day  he suddenly gets reincarnated into the world of *MamaFan*... However  he gets reincarnated as a villainous aristocrat who's got nothing but the worst routes. ___ **Additional Links:** - Alt Official Raw: [niconico Manga](https://manga.nicovideo.jp/comic/71300) - [Official X/Twitter Account](https://x.com/oominemanga)"
,Netto Aidoru No Haishin Wo Tetsudatte Ita Maneejaa No Ore  Nazeka Buzzutte Shimau,,data/images\c623db5c-0c93-466f-ad8a-12e823091c2f.jpg,The manager of the MeiQuber agency  Kayano  is fired after refusing to engage in sex-for-promotion deals. The only one who believes in Kayano is Miona  the idol he manages  and the two decide to continue their streaming activities together. However  unexpectedly  Kayano becomes an internet sensation too!?
,Kage no Jitsuryokusha ni Naritakute! Master of Garden ~Shichikage Retsuden~,Action|Demons|Martial Arts|Adventure|Magic|Harem|Isekai|Drama|Fantasy|Web Comic|Adaptation,data/images\91d928a1-7237-4d03-abc3-4b1440cc7d55.jpg,Cid Kagenou  a boy who was enjoying the “eminence in shadow” setting in another world  plays the role of the justice with the girls called the Seven Shadows (they are very serious)  such that the darkness of the world will disappear (maybe).  The curtain rises on an overwhelmingly chuunibyou and misunderstanding-filled serious comedy about the strongest Seven Shadows (and the protagonist)!?
,Inukami!,Action|Romance|Comedy|Harem|Fantasy|Supernatural|Adaptation,data/images\20b4201c-d97a-47c7-8cba-25b1d55a36ef.jpg,An Inukami  a sacred being with a dog-like appearance  forges a contract with a powerful human tamer to help them eliminate evil monsters and demons. Though Kawahira Keita is the descendent of a long line of Inukami-tamers  he seems to lack the necessary ability and has been forsaken by his family. One day  he meets a cute Inukami named Yoko  who  at first glance  looks graceful  obedient  and beautiful…but upon forging a contract with her  Keita discovers that Yoko is a wild and mischievous Inukami that no one has ever been able to control.
,Asu wa Oyome ni,Oneshot|Drama,data/images\8c6ba0be-a749-4acd-aec9-5416a27c631a.jpg,
,Kage,Thriller|Anthology|Crime|Mystery,data/images\c8563f53-bebb-49db-9dcc-0b5aa7b2bd5a.jpg,
,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2-nensei-hen 2nd Stage,Psychological|Romance|Comedy|School Life|Adaptation,data/images\26e4421f-cef8-4775-8bf6-423061d9b43e.jpg,"Tokyo Metropolitan Advanced Nurturing High School—a dream-like school that boasts a 100% college and job placement rate  and provides 100 000 yen worth of points every month.  However  its true nature was a ""meritocracy"" where only a select few of the most academically successful students received favorable treatment.  Ayanokoji and the others  who belong to Class D  known as the ""last refuge for failures "" somehow managed to advance to the second year. But their joy was short-lived  as they were at the mercy of the first-year students in a special exam held soon after the new school year began.  Furthermore  figures who are moving in the shadows to take down Ayanokoji have appeared  including those involved in ""a top-secret exam communicated to only a few students"" and ""assassins from the White Room.""  This work is a sequel to the comic series Classroom of the Elite: Year 2"
,Hidamari Sketch,Comedy|4-Koma|School Life|Slice of Life,data/images\b93212ef-5d8f-4814-9e10-9237720a4057.jpg,Accepted to a high school specializing in the arts  Yuno moves into a nearby apartment complex to make her commute easier. Just a few days into her new routine  she quickly discovers that creativity doesn't end with the art school bell! Her neighbors – Sae  Hiro  and Miya – are all fellow students  and each has her own hilarious quirks. And eccentricity clearly rules this school; Yuno's homeroom teach is a cosplay otaku and the principal is just weird. Will the quiet Yuno be able to handle this creatively kooky cast of characters?
,Mysterious Disappearances,Drama|Supernatural|Mystery,data/images\16a16845-90d1-4895-b2b8-4895624588c7.jpg,Mysterious incidents in a city  one after the other. A demonic being is challenged to resolve them. Sumireko  seemingly a plain store clerk  aspires to be a novelist and rocks an alluring body with some ardent admirers. Adashino  an admirer who looks like a boy  is a bookstore clerk. He's steeped in mystery however  at first  until the path of challenges is revealed that he and his sister must face in the city in order to win their ticket back home  outside this world.
,Umi ga Hashiru End Roll,Comedy|Drama|School Life|Slice of Life,data/images\08a69168-3adb-4f78-adaa-088b7663e0ff.jpg,"After turning 65 and bereaved of her husband  Umiko visits a cinema for the first time in decades. A shocking  life-changing event awaits her. When she meets Kai  an art student majoring in film  Umiko realises that she wants to make a film. She realises that she is on the side of ""the people who want to make films""... Lured by the waves that stir her heart  the 65-year-old dives into the sea of film!"
,Idol Yamerukedo Kekkon Shitekuremasu Ka!?,Romance|Comedy|Sexual Violence,data/images\c7b6f161-d7b9-4bac-a6c6-1bb701df387e.jpg,"Sato Itto  an ordinary salaryman  has been shy about love due to an old trauma. Then one day  a reunion is held for the first time in several years. While they are having a good time talking about the good old days  suddenly Hebo  who has become an idol currently on hiatus  decides to attend the reunion!  Sato is upset to see Hebo  who was his first love. He manages to get over it with the help of alcohol  which he does not normally drink. When he wakes up  he finds the two of them naked in the same bed. As Sato desperately tries to recall his memories  Hebo shockingly says to him...!  ""Marry me...""  What will happen to the marriage between the two who have no experience with love...!?"
,The Villainess Will Die in Three Years,Reincarnation|Romance|Isekai|Drama|School Life|Fantasy|Villainess|Adaptation,data/images\3521c5e8-a737-43a3-97b6-c25d2f23d24e.jpg,"Uruwashi Maria  a student at the Hananomiya private academy is a strong-willed and selfish ""villainess."" Her life is on easy mode and she has no enemies  but one day the memories of her past life come to her. Suddenly she remembers that in her previous life she was a normal high school girl. And she’s seen this life of hers play out before in a manga she read in her previous life! According to memories of her past life  Maria is killed by somebody in the manga. ""And I don't know who did it because I died before I could read the ending!""      Can Maria avoid her death and find happiness?"
,Texts of the Three Kingdoms,Historical|Action|Long Strip|Comedy|Web Comic|Full Color,data/images\7c04f867-8985-474b-8fea-c954110840dd.jpg,"A brand new way of interpreting the ""Romance of the Three Kingdoms""  where we find the characters with a modern look with access to phones and internet. A mix of history  fiction with contemporary technology."
,DD Fist of the North Star,Sci-Fi|Action|Romance|Comedy|Martial Arts|Post-Apocalyptic|Drama|Slice of Life|Supernatural,data/images\7baa8582-79fe-4939-872d-539365ad32ae.jpg,"**""In the year 199X… The world was NOT engulfed by the flames of nuclear war!""**     Bat is your ordinary college student  working several part-time jobs to get by. But all that changes once his friend  Lin  brings in a man named Kenshiro to work at his convenience store. Bat quickly grows to hate Kenshiro - but unfortunately for him  that's just the beginning of many wacky adventures… And all he can do is retort!      This is a gag manga of Fist of the North Star (Hokuto no Ken). Taking place in a world where the end of the century didn't happen  all the characters have relatively normal lives. The martial artists are all drawn Design Deformed (or DD)  while most other characters look normal. However  this can be enjoyed both on its own and as a companion piece to the original Fist of the North Star!      **Note:**   [Was up for consideration for localization by SMA.](https://www.manga-audition.com/comic-zenon/dd-hokuto-no-ken-by-kajio/) However  SMA has stopped all attempts at localizing manga after December 2016.  Done by Osamu Kajisa  of [Bartender à Paris](https://mangadex.org/title/13da00cf-f2e1-40a5-a625-77c2c048e2b9/bartender-a-paris) fame. Here  he goes by the pen name Kajio(カジオ) which is a combination of his first and last name."
,Meirei Kuchou na Onna Senpai to Boku no Hanashi,Romance|Self-Published|Web Comic|Slice of Life,data/images\9a2ac08d-6ee9-4a8b-9acf-512e4a06574c.jpg,Late at night  I happened to encounter a female senpai in my friend group (she barely shows up). One thing led to another  and we ended up drinking together  but...  A story depicting a glimpse into college romance.  ----  These were a short series of web comics which were compiled by the original author into a single compilation release.
,Phantom Thief Golden Bat,Thriller|Reincarnation|Action|Psychological|Comedy|Crime|Survival|Adventure|Drama|Police|Slice of Life|Mystery|Tragedy,data/images\824f9ea2-c50a-4fe3-b180-5e7f5bdc1c2a.jpg,The talented thief Golden Bat is after the “Ruby Diamond”  a jewel belonging to the Duke of Sarada. Will he be able to get his hands on it?! (From [ogonbatter.web](http://ogonbatter.web.fc2.com/tezuka.html))
,My Forever One-Sided Love,Oneshot|Romance|Music|Tragedy,data/images\a3ec3c6a-2f0e-490f-ba99-015f13579d8c.jpg,
,Tachi Nomi Izakaya De Kei Joshidaisei Ga Tonari Ni Kuru Hanashi,Romance|Comedy|Office Workers|Adaptation,data/images\8896ec06-cca8-4ee8-872a-cc8a359c3bb8.jpg,アラサー会社員・砺波誠也。 彼は金曜の夜に、行きつけの立ち飲み居酒屋でゆっくり一人飲みするのがルーチン。 けれどある日、店内でナンパされていた女子大生を助けたことをきっかけに、 彼女と隣り合って飲む日々が始まる。 日常の些細な発見や、軽い愚痴だったり… 何気ない会話をしているだけなのに、 隣で笑ってくれるキミがいる—— そんな金曜の夜が楽しみになっていく、 じんわり酔いたい立ち飲みラブコメディ
,Rekkyou Sensen,Sci-Fi|Action|Survival|Martial Arts|Post-Apocalyptic|Military|Drama,data/images\3683f667-c23d-4688-b872-0ade276aaafa.jpg,"The year is 2206  and mankind has only 100 years left on planet Earth. The ""Nation-Toppling Battle""  a war with the survival of each country on the line  begins!!"
,Inu to Kuzu,Romance|Drama|Mystery,data/images\5f6c9c40-fae7-4f82-8a44-f86dfaa70957.jpg,"Haruma Sakuraba's childhood friend Shuuji Inukai was a cut above him in every way imaginable  living out the glamorous life bestowed upon him. Haruma  an unassuming salary man  has lived his every day clutching onto his inferiority complex  existing only in Shuuji's shadow. One day  Haruma coincidentally met Shuuji's wife  Reika Sumi  who Haruma had always secretly admired since his high school days. With feelings of envy  jealousy  and more  a ""secret"" is born from Haruma's repetitive days."
,VTuber no Ending  Kaitorimasu.,Drama|School Life|Adaptation|Music,data/images\692394c0-da1d-4746-af83-4043a2c4a66a.jpg,"High school student Gou Karube is a big fan of Noa Mukanae  a member of the VTuber idol group ""Hoshigaoka High School"". Gou dedicates both time and money to support Noa  and his hard work has become famous amongst her other fans  the ""NoaTomo"".   Noa  whom he's devoted all of his youth to supporting  one day decided to hold a solo live show  which had been her dream. Her fans were supposed to witness the moment when her dream came true... is how it should have been."
,The Baengri Clan's Unwanted Granddaughter,Reincarnation|Long Strip|Romance|Martial Arts|Isekai|Drama|Fantasy|Villainess|Adaptation|Full Color,data/images\55a1aba6-967c-4967-a1d0-ad0f52332be0.jpg,"Yeon was just an orphan on the streets when a man claiming to be her father brought her to his family home. But the Baengri estate was a den of vipers that swallowed her whole  and it's only when she's standing at the funeral of the father she never truly understood that she realizes how familiar this story is. When she wakes up six years old again  Yeon knows she can't waste her second chance. This time  she's going to save her father. This time  she's going to live without regrets.  --- Here  inside this martial arts novel  there is a true teacher who teaches the arrogant male lead and awakens him through death. Handsome  good-natured  righteous  strong  and… Anyway  there was one big flaw in the male lead's damn fine teacher. It was his foolish only daughter who was filled with greed. A tenacious villainous extra  who always comes back to haunt the male lead in every way  but cannot be abandoned because she is his teacher's daughter. Throughout reading the novel  I cursed at that daughter. Saying that if it were me  I wouldn't live like that.  'But that didn't mean that I wanted to be her!'  What was worse  Father has already died  and my reputation was the worst. Inevitably  I ran away  but… I died. However  when I opened my eyes  Father was alive?!  'If so  in this life  I will definitely save Father!'  However…  ""To think they’re aiming for my granddaughter?! I'll kill them all!""  Why do I see Grandfather  who doesn't even appear many times throughout the novel  so often like this?  ""Marriage? No. Yeonie said that she would live by my side for the rest of her life.""  Even Father  somehow became weird. Moreover:  ""Why do you keep avoiding me? Is this also my mistake?""  Isn't the main character suddenly becoming obsessed with me?  ""Originally  I was destined to die. Until you came here.""  I saved the time-limited bastard  but isn’t it that no good deed goes unpunished?  ""At least when I'm in front of you… I don't think I’m trash.""  The villain who blew off my neck is suddenly trying to repent.  Is it really okay if it's like this?"
,To Love Ru Darkness (Official Colored),Official Colored|Action|Romance|Comedy|Harem|School Life|Fantasy|Aliens|Supernatural,data/images\1cce63e6-8130-4b26-a12d-65d435758d5a.jpg,Momo is the younger sister of Lala  the alien princess who has long since been engaged to the human Rito. Although Rito’s heart continues to waver between Lala and his first crush  Haruna  Momo finds herself unable to deny the feelings she has for the hapless human male. Instead of giving up  Momo attempts to surround Rito with a harem of beautiful women  all working towards urging him to marry Lala  become crowned as King  and as a result  be allowed to marry his entire harem—Momo included!
,The Guy She Was Interested in Wasn't a Guy at All,Award Winning|Romance|Girls' Love|School Life|Web Comic|Slice of Life|Music|Gyaru,data/images\9d3d3403-1a87-4737-9803-bc3d99db1424.jpg,Fashionable and upbeat high schooler Aya falls head over heels for an employee at a local CD shop. He’s got an air of mystery about him  always dressed well  and has impeccable taste in music. Little does she know — this supposedly male employee is actually her female classmate Mitsuki!  Mitsuki generally keeps to herself  but since her seat is right next to Aya’s  she can't help but be extremely aware of the other’s crush. Revealing the truth is out of the question — but perhaps getting closer to Aya wouldn’t be so bad...  ***Overwhelming winner in the Web category of the 2023 Tsugimanga Awards (by Kadokawa).***
